epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,5873.05,1.1073,0.43656,0.00422,0.91745,0.9041,0.94685,0.6262,1.25382,0.4633,0.00646,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,6015.47,1.10204,0.45473,0.00423,0.92114,0.90013,0.94841,0.62703,1.25706,0.4636,0.00652,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,6156.93,1.11012,0.45428,0.00427,0.91895,0.90731,0.94824,0.62565,1.25673,0.46489,0.0065,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,6299.13,1.1049,0.44598,0.00426,0.91657,0.90102,0.94732,0.6261,1.25352,0.47121,0.00651,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,6441.33,1.10922,0.44713,0.00421,0.92985,0.89422,0.94776,0.62464,1.25524,0.46088,0.0065,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,6582.75,1.10107,0.44792,0.00416,0.921,0.90344,0.94723,0.62465,1.25445,0.47131,0.00649,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,6724.01,1.09225,0.44047,0.00415,0.93257,0.89749,0.94948,0.62542,1.25343,0.4681,0.00649,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,6865.09,1.08847,0.4422,0.00421,0.91881,0.90569,0.94833,0.62443,1.25405,0.46083,0.00648,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,7006.23,1.08403,0.44162,0.00421,0.92316,0.90582,0.94776,0.6261,1.2539,0.45948,0.0065,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,7148.1,1.09416,0.43803,0.00423,0.92423,0.90807,0.94762,0.62717,1.2539,0.46166,0.0065,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,7289.46,1.11726,0.45587,0.0043,0.92017,0.90718,0.94772,0.62592,1.25139,0.47667,0.00651,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7431.45,1.0999,0.4512,0.00435,0.926,0.90207,0.94779,0.62721,1.24988,0.47194,0.00648,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,7572.52,1.09634,0.44272,0.00425,0.91721,0.91204,0.94825,0.62838,1.25,0.47155,0.00649,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7714.52,1.10564,0.44794,0.00423,0.92712,0.90019,0.94762,0.62938,1.25378,0.47582,0.00649,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,7856.03,1.11125,0.447,0.00428,0.91583,0.91336,0.94842,0.62939,1.25235,0.47352,0.00649,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,7998.86,1.1192,0.45828,0.00424,0.91735,0.91204,0.94877,0.63003,1.25307,0.47128,0.0065,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,8140.29,1.10413,0.45344,0.00431,0.91822,0.9134,0.94846,0.62851,1.25314,0.46759,0.00649,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,180.192,1.08765,0.42972,0.00422,0.91576,0.92024,0.94945,0.63038,1.2529,0.47014,0.00649,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,326.32,1.09439,0.44737,0.00421,0.91766,0.91534,0.94897,0.63032,1.25335,0.47145,0.00648,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,469.098,1.09775,0.44337,0.0043,0.91878,0.91279,0.94897,0.62795,1.25312,0.46858,0.00648,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,612.758,1.08959,0.45617,0.00408,0.91462,0.91402,0.94956,0.63063,1.2534,0.46723,0.00648,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,756.223,1.08402,0.44083,0.00415,0.91491,0.91024,0.94888,0.62876,1.25196,0.47219,0.00648,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,899.492,1.09365,0.44507,0.00417,0.91634,0.91272,0.94902,0.62906,1.25443,0.46609,0.00649,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,1042.18,1.08419,0.43617,0.00414,0.91778,0.91667,0.94972,0.63087,1.25409,0.46284,0.00648,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,1184.91,1.08991,0.44392,0.00418,0.92015,0.91336,0.95013,0.62955,1.25264,0.46292,0.00647,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,1327.87,1.09975,0.45171,0.00423,0.91463,0.91667,0.94839,0.62877,1.24943,0.47813,0.00645,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,1471.13,1.09037,0.4402,0.00415,0.91987,0.91105,0.94882,0.62807,1.25101,0.47585,0.00645,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,1613.55,1.08421,0.44508,0.00417,0.9222,0.91204,0.94901,0.62658,1.25159,0.47077,0.00649,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,1757.04,1.08188,0.4423,0.00421,0.9168,0.91102,0.9496,0.62759,1.24732,0.47471,0.00646,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,1899.07,1.08218,0.43291,0.00406,0.92139,0.91204,0.94885,0.62763,1.24711,0.4709,0.00646,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,2042.56,1.06738,0.43593,0.00411,0.92399,0.9085,0.94855,0.62724,1.24701,0.46605,0.00646,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,2184.85,1.08248,0.43876,0.00419,0.92566,0.90675,0.94978,0.62774,1.24837,0.46478,0.00647,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,2327.43,1.07286,0.42662,0.00415,0.91947,0.91204,0.94881,0.62867,1.24968,0.46807,0.00648,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,2471.06,1.07757,0.43439,0.00404,0.92132,0.91005,0.94916,0.62722,1.24844,0.47171,0.00647,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
